	Column	B_CD5	B_Memory	B_Naive	CD4_Central_Memory	CD4_Effector_Memory	CD4_Naive	CD4_Th1	CD4_Th17	CD4_Th2	CD4_Treg	CD8_Central_Memory	CD8_Effector	CD8_Naive	P-value	Pearson Correlation	RMSE	cohort	metric	processing	data_col	cohort_sample_id	incut_sample_id	cutname
38	38	0.07042236566621042	0.3125585536348245	0.0	0.01683855788820069	0.1753916926898389	0.1571065509868033	0.0	0.0	0.0	0.10146146556743024	0.0	0.16622081356669194	0.0	0.09	0.2625693592334977	1.0521688536135565	tcgakirc	counts	raw	est_counts	39	39	cut1
39	39	0.2640841051957957	0.006840176998130017	0.0	0.0	0.0	0.0	0.451960264721094	0.0	0.0	0.14001510148865792	0.025858025728782475	0.06562213831461121	0.04562018755292864	0.09	0.20866305204298607	1.0544346403560108	tcgakirc	counts	raw	est_counts	40	1	cut2
40	40	0.3089990743465707	0.0	0.0	0.0	0.0	0.0	0.4298962463682969	0.0	0.10293676428187506	0.0	0.0	0.04054397911305178	0.11762393589020548	0.09	0.2400563640628444	1.034210824255213	tcgakirc	counts	raw	est_counts	41	2	cut2
41	41	0.28850349395492864	0.18469405856300194	0.0	0.0	0.0	0.06641942727584904	0.2511504680774491	0.0	0.050384292556260285	0.022389522310331963	0.0	0.1364587372621791	0.0	0.09	0.2139788288946479	1.0722698900737464	tcgakirc	counts	raw	est_counts	42	3	cut2
42	42	0.2306231995679343	0.28899021152236265	0.0	0.14169820622333754	0.003907610580040052	0.09980440358862293	0.0	0.0	0.0	0.0037489690373834414	0.0	0.2312273994803192	0.0	0.05	0.2902301213899337	1.0430643278977287	tcgakirc	counts	raw	est_counts	43	4	cut2
43	43	0.2841782767472399	0.2917829028827568	0.0	0.18266754313155087	0.0	0.13139100524278718	0.0	0.0	0.0	0.0	0.0	0.10998027199566518	0.0	0.03	0.35164882030765504	1.0135359216824071	tcgakirc	counts	raw	est_counts	44	5	cut2
44	44	0.0	0.3322842182323939	0.0	0.031005165666164927	0.2061083516093268	0.17299912383980365	0.0	0.0	0.0	0.037771683971923285	0.0	0.2198314566803875	0.0	0.09	0.2498482344220388	1.0641290275365611	tcgakirc	counts	raw	est_counts	45	6	cut2
45	45	0.3901614955048882	0.11295633512612087	0.0	0.11907704334644345	0.0	0.07790868015773908	0.0	0.03425343228940127	0.0	0.022786246154171068	0.0	0.2428567674212361	0.0	0.16	0.1381748757754187	1.1208626526441805	tcgakirc	counts	raw	est_counts	46	7	cut2
46	46	0.0	0.41958932322726666	0.16560749618722706	0.12902838205391673	0.0	0.004781625388042521	0.22744097695214516	0.0	0.040857490398757516	0.0	0.0	0.012694705792644362	0.0	0.03	0.34275838524856994	1.0378066406810278	tcgakirc	counts	raw	est_counts	47	8	cut2
47	47	0.03173020380186485	0.4255683289737166	0.0	0.0	0.04969101502263777	0.0	0.4114652274412124	0.0	0.035323737844161894	0.01483125213524755	0.0	0.0	0.031390234781159015	0.09	0.2583821472181251	1.0691912288956054	tcgakirc	counts	raw	est_counts	48	9	cut2
48	48	0.0327719531553729	0.34310482076345583	0.0	0.038935121461891264	0.0	0.27813842750092704	0.1659987772227856	0.0	0.0	0.0	0.0	0.14105089989556738	0.0	0.16	0.12971778575241644	1.1485419313812095	tcgakirc	counts	raw	est_counts	49	10	cut2
49	49	0.2432819905545313	0.25857574482462803	0.0	0.1601562987349589	0.0	0.16598904182721494	0.0	0.0	0.04606039872471882	0.0	0.0	0.12593652533394806	0.0	0.09	0.2472031034662106	1.0685451399287451	tcgakirc	counts	raw	est_counts	50	11	cut2
